SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
4,Friday,6,27,2025,10,5,15,1
8,Friday,6,27,2025,12,4,5,0
14,Friday,6,27,2025,19,53,13,0
10,Friday,6,27,2025,7,45,4,1
14,Friday,6,27,2025,7,43,4,0
2,Friday,6,27,2025,7,17,4,0
13,Friday,6,27,2025,12,56,5,1
3,Friday,6,27,2025,18,57,10,0
8,Friday,6,27,2025,14,38,11,0
1,Friday,6,27,2025,20,43,15,0
3,Friday,6,27,2025,8,32,8,0
3,Friday,6,27,2025,11,26,19,0
6,Friday,6,27,2025,14,49,11,0
7,Friday,6,27,2025,19,39,13,0
11,Friday,6,27,2025,13,11,8,1
11,Friday,6,27,2025,14,44,11,1
6,Friday,6,27,2025,13,16,8,0
10,Friday,6,27,2025,12,51,5,0
3,Friday,6,27,2025,15,36,16,0
14,Friday,6,27,2025,14,50,11,1
3,Friday,6,27,2025,11,30,19,0
13,Friday,6,27,2025,9,13,11,1
6,Friday,6,27,2025,18,57,10,0
3,Friday,6,27,2025,9,54,11,0
5,Friday,6,27,2025,12,54,5,0
3,Friday,6,27,2025,11,46,19,0
13,Friday,6,27,2025,11,41,19,1
6,Friday,6,27,2025,9,22,11,0
8,Friday,6,27,2025,14,36,11,0
5,Friday,6,27,2025,15,25,16,0
2,Friday,6,27,2025,10,53,15,0
2,Friday,6,27,2025,11,26,19,0
8,Friday,6,27,2025,8,35,8,0
5,Friday,6,27,2025,13,38,8,0
12,Friday,6,27,2025,17,4,4,1
13,Friday,6,27,2025,14,11,11,1
4,Friday,6,27,2025,18,33,10,0
4,Friday,6,27,2025,9,41,11,1
14,Friday,6,27,2025,11,28,19,1
11,Friday,6,27,2025,7,32,4,1
10,Friday,6,27,2025,12,49,5,0
14,Friday,6,27,2025,13,46,8,1
13,Friday,6,27,2025,7,41,4,0
12,Friday,6,27,2025,7,18,4,1
12,Friday,6,27,2025,10,7,15,1
12,Friday,6,27,2025,19,46,13,1
5,Friday,6,27,2025,15,52,16,0
9,Friday,6,27,2025,11,11,19,1
8,Friday,6,27,2025,16,54,19,0
7,Friday,6,27,2025,7,47,4,1
12,Friday,6,27,2025,13,49,8,1
6,Friday,6,27,2025,17,16,4,0
8,Friday,6,27,2025,20,47,15,0
10,Friday,6,27,2025,14,5,11,1
3,Friday,6,27,2025,12,2,5,0
13,Friday,6,27,2025,19,49,13,0
11,Friday,6,27,2025,16,17,19,0
13,Friday,6,27,2025,12,45,5,0
14,Friday,6,27,2025,10,53,15,1
9,Friday,6,27,2025,20,0,13,0
1,Friday,6,27,2025,7,4,4,0
