SpotID,Month,Day,Year,Hour,Minute,Second,Status
spot_9,6,Tuesday,2025,7,38,44,1
spot_10,6,Tuesday,2025,7,38,44,1
spot_11,6,Tuesday,2025,7,38,44,1
spot_12,6,Tuesday,2025,7,38,44,1
spot_13,6,Tuesday,2025,7,38,44,0
spot_14,6,Tuesday,2025,7,38,44,1
spot_1,6,Tuesday,2025,7,39,44,0
spot_2,6,Tuesday,2025,7,39,44,0
spot_3,6,Tuesday,2025,7,39,44,0
spot_4,6,Tuesday,2025,7,39,44,0
spot_5,6,Tuesday,2025,7,39,44,1
spot_6,6,Tuesday,2025,7,39,44,0
spot_7,6,Tuesday,2025,7,39,44,1
spot_8,6,Tuesday,2025,7,39,44,0
spot_9,6,Tuesday,2025,7,39,44,1
spot_10,6,Tuesday,2025,7,39,44,1
spot_11,6,Tuesday,2025,7,39,44,1
spot_12,6,Tuesday,2025,7,39,44,1
spot_13,6,Tuesday,2025,7,39,44,0
spot_14,6,Tuesday,2025,7,39,44,1
spot_1,6,Tuesday,2025,7,40,44,0
spot_2,6,Tuesday,2025,7,40,44,0
spot_3,6,Tuesday,2025,7,40,44,0
spot_4,6,Tuesday,2025,7,40,44,0
spot_5,6,Tuesday,2025,7,40,44,1
spot_6,6,Tuesday,2025,7,40,44,0
spot_7,6,Tuesday,2025,7,40,44,1
spot_8,6,Tuesday,2025,7,40,44,0
spot_9,6,Tuesday,2025,7,40,44,1
spot_10,6,Tuesday,2025,7,40,44,1
spot_11,6,Tuesday,2025,7,40,44,1
spot_12,6,Tuesday,2025,7,40,44,1
spot_13,6,Tuesday,2025,7,40,44,0
spot_14,6,Tuesday,2025,7,40,44,1
spot_1,6,Tuesday,2025,7,41,44,0
spot_2,6,Tuesday,2025,7,41,44,0
spot_3,6,Tuesday,2025,7,41,44,0
spot_4,6,Tuesday,2025,7,41,44,0
spot_5,6,Tuesday,2025,7,41,44,1
spot_6,6,Tuesday,2025,7,41,44,0
spot_7,6,Tuesday,2025,7,41,44,1
spot_8,6,Tuesday,2025,7,41,44,0
spot_9,6,Tuesday,2025,7,41,44,1
spot_10,6,Tuesday,2025,7,41,44,1
spot_11,6,Tuesday,2025,7,41,44,1
spot_12,6,Tuesday,2025,7,41,44,1
spot_13,6,Tuesday,2025,7,41,44,0
spot_14,6,Tuesday,2025,7,41,44,1
spot_1,6,Tuesday,2025,7,42,44,0
spot_2,6,Tuesday,2025,7,42,44,0
spot_3,6,Tuesday,2025,7,42,44,0
spot_4,6,Tuesday,2025,7,42,44,0
spot_5,6,Tuesday,2025,7,42,44,1
spot_6,6,Tuesday,2025,7,42,44,0
spot_7,6,Tuesday,2025,7,42,44,1
spot_8,6,Tuesday,2025,7,42,44,0
spot_9,6,Tuesday,2025,7,42,44,1
spot_10,6,Tuesday,2025,7,42,44,1
spot_11,6,Tuesday,2025,7,42,44,1
spot_12,6,Tuesday,2025,7,42,44,1
spot_13,6,Tuesday,2025,7,42,44,0
spot_14,6,Tuesday,2025,7,42,44,1
spot_1,6,Tuesday,2025,7,43,44,0
spot_2,6,Tuesday,2025,7,43,44,0
spot_3,6,Tuesday,2025,7,43,44,0
spot_4,6,Tuesday,2025,7,43,44,0
spot_5,6,Tuesday,2025,7,43,44,1
spot_6,6,Tuesday,2025,7,43,44,0
spot_7,6,Tuesday,2025,7,43,44,1
spot_8,6,Tuesday,2025,7,43,44,0
spot_9,6,Tuesday,2025,7,43,44,1
spot_10,6,Tuesday,2025,7,43,44,1
spot_11,6,Tuesday,2025,7,43,44,1
spot_12,6,Tuesday,2025,7,43,44,1
spot_13,6,Tuesday,2025,7,43,44,0
spot_14,6,Tuesday,2025,7,43,44,1
spot_1,6,Tuesday,2025,7,44,44,0
spot_2,6,Tuesday,2025,7,44,44,0
spot_3,6,Tuesday,2025,7,44,44,0
spot_4,6,Tuesday,2025,7,44,44,0
spot_5,6,Tuesday,2025,7,44,44,1
spot_6,6,Tuesday,2025,7,44,44,0
spot_7,6,Tuesday,2025,7,44,44,1
spot_8,6,Tuesday,2025,7,44,44,0
spot_9,6,Tuesday,2025,7,44,44,1
spot_10,6,Tuesday,2025,7,44,44,0
spot_11,6,Tuesday,2025,7,44,44,1
spot_12,6,Tuesday,2025,7,44,44,1
spot_13,6,Tuesday,2025,7,44,44,0
spot_14,6,Tuesday,2025,7,44,44,1
spot_1,6,Tuesday,2025,7,45,44,0
spot_2,6,Tuesday,2025,7,45,44,0
spot_3,6,Tuesday,2025,7,45,44,0
spot_4,6,Tuesday,2025,7,45,44,0
spot_5,6,Tuesday,2025,7,45,44,1
spot_6,6,Tuesday,2025,7,45,44,0
spot_7,6,Tuesday,2025,7,45,44,1
spot_8,6,Tuesday,2025,7,45,44,0
spot_9,6,Tuesday,2025,7,45,44,1
spot_10,6,Tuesday,2025,7,45,44,0
spot_11,6,Tuesday,2025,7,45,44,1
spot_12,6,Tuesday,2025,7,45,44,1
spot_13,6,Tuesday,2025,7,45,44,0
spot_14,6,Tuesday,2025,7,45,44,1
spot_1,6,Tuesday,2025,7,46,44,0
spot_2,6,Tuesday,2025,7,46,44,0
spot_3,6,Tuesday,2025,7,46,44,0
spot_4,6,Tuesday,2025,7,46,44,0
spot_5,6,Tuesday,2025,7,46,44,1
spot_6,6,Tuesday,2025,7,46,44,0
spot_7,6,Tuesday,2025,7,46,44,1
spot_8,6,Tuesday,2025,7,46,44,0
spot_9,6,Tuesday,2025,7,46,44,1
spot_10,6,Tuesday,2025,7,46,44,1
spot_11,6,Tuesday,2025,7,46,44,1
spot_12,6,Tuesday,2025,7,46,44,1
spot_13,6,Tuesday,2025,7,46,44,0
spot_14,6,Tuesday,2025,7,46,44,1
spot_1,6,Tuesday,2025,7,47,44,0
spot_2,6,Tuesday,2025,7,47,44,0
spot_3,6,Tuesday,2025,7,47,44,0
spot_4,6,Tuesday,2025,7,47,44,0
spot_5,6,Tuesday,2025,7,47,44,1
spot_6,6,Tuesday,2025,7,47,44,0
spot_7,6,Tuesday,2025,7,47,44,1
spot_8,6,Tuesday,2025,7,47,44,0
spot_9,6,Tuesday,2025,7,47,44,1
spot_10,6,Tuesday,2025,7,47,44,0
spot_11,6,Tuesday,2025,7,47,44,1
spot_12,6,Tuesday,2025,7,47,44,1
spot_13,6,Tuesday,2025,7,47,44,0
spot_14,6,Tuesday,2025,7,47,44,1
spot_1,6,Tuesday,2025,7,48,44,0
spot_2,6,Tuesday,2025,7,48,44,0
spot_3,6,Tuesday,2025,7,48,44,0
spot_4,6,Tuesday,2025,7,48,44,0
spot_5,6,Tuesday,2025,7,48,44,1
spot_6,6,Tuesday,2025,7,48,44,0
spot_7,6,Tuesday,2025,7,48,44,1
spot_8,6,Tuesday,2025,7,48,44,0
spot_9,6,Tuesday,2025,7,48,44,0
spot_10,6,Tuesday,2025,7,48,44,1
spot_11,6,Tuesday,2025,7,48,44,0
spot_12,6,Tuesday,2025,7,48,44,1
spot_13,6,Tuesday,2025,7,48,44,0
spot_14,6,Tuesday,2025,7,48,44,0
spot_1,6,Tuesday,2025,7,49,44,0
spot_2,6,Tuesday,2025,7,49,44,0
spot_3,6,Tuesday,2025,7,49,44,0
